index,centrality,rND,women_prop
0,PageRank,0.07601708867854745,0.1461167400417079
0,InDegreeStrength,0.05110562533752676,0.1461167400417079
1,PageRank,0.08898035037712408,0.1609423341424609
1,InDegreeStrength,0.0643421738225124,0.1609423341424609
2,PageRank,0.0956986021808992,0.17349457255365544
2,InDegreeStrength,0.07464469304410982,0.17349457255365544
3,PageRank,0.09849345281080728,0.184624014195143
3,InDegreeStrength,0.08144127868470548,0.184624014195143
4,PageRank,0.10347982619076061,0.19584699198108338
4,InDegreeStrength,0.088062529620609,0.19584699198108338
5,PageRank,0.10931118651582049,0.20689289021647553
5,InDegreeStrength,0.09444289774766672,0.20689289021647553
6,PageRank,0.11046089861973753,0.21855489866075195
6,InDegreeStrength,0.09959075486071758,0.21855489866075195
7,PageRank,0.10882928121054898,0.23129622218722776
7,InDegreeStrength,0.10064886548605707,0.23129622218722776
8,PageRank,0.10945080705053616,0.24346586662680703
8,InDegreeStrength,0.09970607096452269,0.24346586662680703
9,PageRank,0.11010990369813285,0.253219385396838
9,InDegreeStrength,0.10021887609768462,0.253219385396838
10,PageRank,0.11264870836463439,0.2627391355004078
10,InDegreeStrength,0.10233900349071956,0.2627391355004078
11,PageRank,0.11163108618794648,0.27269798112657906
11,InDegreeStrength,0.1037513461094223,0.27269798112657906
12,PageRank,0.10912250606743448,0.28228629373279296
12,InDegreeStrength,0.1033347220746712,0.28228629373279296
13,PageRank,0.10941045216371952,0.2899377482186437
13,InDegreeStrength,0.10269565389150846,0.2899377482186437
14,PageRank,0.107803511280156,0.294751146861057
14,InDegreeStrength,0.10383678804353172,0.294751146861057
15,PageRank,0.10624804049981669,0.30079222007319395
15,InDegreeStrength,0.10431056350362071,0.30079222007319395
16,PageRank,0.10747398563646639,0.3078584732066542
16,InDegreeStrength,0.10272290804434481,0.3078584732066542
17,PageRank,0.10707974582744814,0.31506662186049433
17,InDegreeStrength,0.1021293078407434,0.31506662186049433
18,PageRank,0.1064225092550664,0.3188024687772547
18,InDegreeStrength,0.10426400372257885,0.3188024687772547
19,PageRank,0.10783581219673566,0.32284831689809335
19,InDegreeStrength,0.10566556888523514,0.32284831689809335
20,PageRank,0.10426280018423478,0.33089508925263506
20,InDegreeStrength,0.10338077350995653,0.33089508925263506
21,PageRank,0.10445120270552839,0.3366767942676764
21,InDegreeStrength,0.10368091683671654,0.3366767942676764
22,PageRank,0.10528108285609482,0.33901795525224243
22,InDegreeStrength,0.10443584854278577,0.33901795525224243
23,PageRank,0.1061350739121981,0.34299633146665526
23,InDegreeStrength,0.10520017749460561,0.34299633146665526
24,PageRank,0.10652924736799924,0.3465595595090687
24,InDegreeStrength,0.10480740997137002,0.3465595595090687
25,PageRank,0.10716293554327355,0.34962582509078505
25,InDegreeStrength,0.10432925938524049,0.34962582509078505
26,PageRank,0.10729164967875965,0.35332336332274417
26,InDegreeStrength,0.1046305012858196,0.35332336332274417
27,PageRank,0.10576133908511934,0.35682516993713015
27,InDegreeStrength,0.1038051704003044,0.35682516993713015
28,PageRank,0.10634936467371865,0.3603434065613348
28,InDegreeStrength,0.10398002584905713,0.3603434065613348
29,PageRank,0.10599443724165239,0.36441538140251956
29,InDegreeStrength,0.10488731472276983,0.36441538140251956
30,PageRank,0.10550770310833354,0.3679202261416522
30,InDegreeStrength,0.10467863477950344,0.3679202261416522
31,PageRank,0.09580951539794585,0.3733938700271924
31,InDegreeStrength,0.09931180126412888,0.3733938700271924
32,PageRank,0.08424096960422309,0.37925748828403905
32,InDegreeStrength,0.09056113674255409,0.37925748828403905
33,PageRank,0.08189261384456299,0.38208321438766774
33,InDegreeStrength,0.0869322697940812,0.38208321438766774
34,PageRank,0.07966353388620985,0.38369629831796104
34,InDegreeStrength,0.08437756827800369,0.38369629831796104
35,PageRank,0.07897422100921547,0.384657038215817
35,InDegreeStrength,0.08315563577163738,0.384657038215817
36,PageRank,0.08730285916357133,0.3877168497889653
36,InDegreeStrength,0.09514026098272979,0.3877168497889653
